category,auroc_mean,auroc_std,f1_mean,n_folds,unstable,metric_source
bottle,0.9860087037086487,0.011635111065952788,0.6795698901017507,3,false,val
capsule,0.9394989411036173,0.025272504187924816,0.7564119895299276,3,true,val
carpet,0.9392985701560974,0.02666059179704242,0.7108801205952963,3,true,val
hazelnut,0.9842644333839417,0.011900818714856161,0.8067439198493958,3,false,val
leather,0.9985373814900717,0.002120713591596152,0.9189857840538025,3,false,val
pill,0.8863929907480875,0.02561320737444567,0.7364763418833414,3,true,val
